,Group,Label,Dextran 10 kg/mol (wt%),PEO 10 kg/mol (wt%),Phase_Separation_1st,Phase_Separation_2nd
0,C,B7,0.93594599,8.112300346,0,0
1,C,B3,0.944403411,4.072382999,0,0
2,B,A4,0.9548033,6.523317883,0,0
3,C,B4,0.966972538,5.563984497,0,0
4,B,A5,0.972885689,1.983112427,0,0
5,C,B5,0.98679868,6.085808581,0,0
6,F,F1,0.997204101,11.97710025,1,1
7,B,A2,0.997912732,9.959579896,0,1
8,C,B6,1.015845453,6.857123775,0,0
9,A,A2,1.087604291,4.537892332,0,0
10,F,F4,1.971063663,8.031709266,0,1
11,B,A8,1.995715338,6.535783625,0,1
12,B,A9,2.000669905,4.958968347,0,0
13,F,F5,2.002883516,10.05385877,1,1
14,F,F3,2.015652291,6.943436786,0,1
15,D,E10,2.016032861,5.024181794,0,0
16,D,D2,2.016143796,4.521261546,0,0
17,D,D5,2.024028503,5.994200017,0,1
18,B,A10,2.031690614,1.9655566,0,0
19,D,D1,2.045954575,4.047906569,0,0
20,F,F2,2.050123804,5.479154119,0,0
21,B,A6,2.069473508,12.00535699,1,1
22,D,D10,3.96582941,4.026401554,0,0
23,F,F7,3.973337394,5.558206026,0,1
24,F,F8,3.974818337,6.925961893,1,1
25,D,E4,4.00093192,7.991213326,1,1
26,B,B1,4.027766162,4.959437986,0,1
27,B,B2,4.044345599,1.978703329,0,0
28,B,A11,4.061278359,9.990978649,1,1
29,B,A12,4.067310418,5.975217225,0,1
30,F,F6,4.123473314,4.426635436,0,0
31,D,E5,5.955364721,4.054787225,0,0
32,B,B3,5.959238951,8.33487481,1,1
33,D,E8,6.027406384,5.507251203,0,1
34,B,B6,6.040656659,1.976662543,0,0
35,B,B5,6.044759953,4.428002466,0,0
36,F,F10,6.046303657,5.981717011,1,1
37,F,F9,6.077449202,4.924198299,0,1
38,B,B8,7.998862895,4.432032909,0,1
39,B,B9,8.003359933,1.960184796,0,0
40,F,F11,8.021746697,3.496046808,0,0
41,F,G1,8.035327445,4.932511248,1,1
42,E,D5,8.064328747,6.022604684,1,1
43,F,F12,8.118572699,3.895049405,0,0
44,B,B7,8.129327936,7.942996688,1,1
45,B,B12,10.00720763,1.904490521,0,0
46,B,B10,10.04986205,8.07133597,1,1
47,E,D7,10.05256546,3.996627876,0,0
48,E,D10,10.05895016,6.002649445,1,1
49,E,D9,10.07262959,5.002155673,1,1
50,B,B11,10.08996912,4.445749966,0,1
51,E,E1,11.99600533,4.503661784,0,1
52,E,D11,12.01234099,3.520483081,0,0
53,E,E3,12.01372007,5.99387259,1,1
54,E,D12,12.02489324,4.002118574,0,0
55,B,C1,12.04491765,7.955082349,1,1
56,E,E2,12.04697145,5.034710025,1,1
57,B,C2,12.09482325,1.95309097,0,0
