,Group,Label,Dextran 500 kg/mol (wt%),PEO 20 kg/mol (wt%),Phase_Separation_1st,Phase_Separation_2nd
0,A,C3,0.495343569,3.266045809,1,1
1,A,C2,0.496391718,3.061644298,0,1
2,A,A1,0.552610283,3.569670845,1,1
3,A,C6,0.945371826,2.900010036,0,0
4,A,C8,0.950330463,3.534948928,1,1
5,A,C5,0.963347329,2.564659637,0,0
6,A,C7,0.964109782,3.039107269,1,1
7,A,A2,1.032740568,2.533820841,0,0
8,A,C9,1.912687449,2.058485761,0,0
9,A,C10,1.966378675,2.560444712,0,0
10,A,C12,2.077310701,3.036732529,1,1
11,A,C11,2.106035835,2.840078743,1,1
12,A,D5,2.991458717,3.039691844,1,1
13,A,D3,3.060322543,2.495955705,1,1
14,A,D4,3.081932915,2.844705406,1,1
15,A,D2,3.0852003,2.264678937,0,0
16,A,D7,4.024107712,1.811436054,0,0
17,A,D8,4.031753428,2.071961124,1,1
18,A,D9,4.064102994,2.259697589,1,1
19,A,F3,4.959928615,1.67853661,0,0
20,A,F2,4.978586545,1.289806529,0,0
21,A,A7,5.046003546,1.448693499,0,0
22,A,F4,5.059811828,1.773857527,1,1
23,A,F1,5.064792517,0.977375862,0,0
24,A,A6,5.103276649,1.029282455,0,0
25,A,F7,5.962556099,1.300154063,1,1
26,A,F8,5.966563385,1.610524746,1,1
27,A,A8,5.991060111,0.803922877,0,0
28,A,F6,6.052298889,1.033002861,0,0
29,A,A9,6.05298323,1.293512394,1,1
30,A,A10,7.852718057,0.493589956,0,0
31,A,A12,7.936560493,1.406529369,1,1
32,A,F9,7.974518894,0.539639129,0,0
33,A,F11,8.028224613,1.046087042,1,1
34,A,F10,8.031197585,0.832606508,1,1
35,A,G3,9.859515111,0.618067087,1,1
36,A,B2,9.935961245,0.326166302,0,0
37,A,G4,10.05095075,0.809550768,1,1
38,A,B1,10.07552502,0.182234566,0,0
39,B,B1,0.52068712,2.038967983,0,0
40,B,B2,0.60903536,1.045777822,0,0
41,B,B3,1.167652729,2.007910656,0,0
42,B,B4,0.979076985,1.03280275,0,0
43,B,B5,1.982431189,3.527147996,1,1
44,B,B6,2.102544058,0.95882263,0,0
45,B,B7,3.01597509,3.603195018,1,1
46,B,B8,3.007921793,1.050733187,0,0
47,B,B9,3.7408639,3.598399811,1,1
48,B,B10,4.238891005,1.03280942,0,0
49,B,B11,4.990666865,2.549184796,1,1
50,B,B12,5.081899198,3.539837695,1,1
51,B,C1,6.104093143,3.52683136,1,1
52,B,C2,5.954113417,2.437830264,1,1
53,B,C3,7.765539603,3.567381458,1,1
54,B,C4,8.116635766,2.511039946,1,1
55,B,C5,9.826235887,3.440030596,1,1
56,B,C6,9.705636394,2.466298712,1,1
