Dextran 500 kg/mol (wt%),PEO 20 kg/mol (wt%),Phase_Separation
1.58679,3.71712,1
1.38178,3.23689,1
1.29728,3.03894,0
1.20456,2.82173,0
3.64558,3.35089,1
3.13074,2.87767,1
2.81218,2.58486,0
2.27246,2.08877,0
9.28402,1.31721,1
8.72442,1.23782,1
8.22631,1.16715,1
7.78391,1.10438,1
7.38533,1.04783,0
0.72502,3.78497,1
0.6981,3.64441,1
0.6748,3.5228,1
0.65137,3.40048,0
0.62949,3.28625,0
0.53764,2.80676,0
5.57247,3.01346,1
5.17735,2.79979,1
4.83665,2.61554,1
4.53533,2.45259,1
4.27035,2.3093,1
4.03463,2.18183,1
3.82377,2.0678,0
6.30611,2.78651,1
5.68038,2.51001,1
5.4138,2.39222,1
5.16949,2.28427,1
4.9452,2.18516,1
4.74114,2.09499,1
4.55262,2.01169,1
4.37885,1.9349,0
2.97006,3.69982,1
2.86826,3.57301,1
2.77408,3.45568,1
2.68498,3.3447,1
2.60135,3.24051,1
2.52324,3.14322,1
2.45051,3.05262,1
2.38186,2.96709,1
2.31648,2.88565,1
2.25503,2.80911,0
7.8682,2.05895,1
7.56537,1.9797,1
7.28555,1.90648,1
7.02569,1.83848,1
6.78663,1.77592,1
6.55923,1.71642,1
6.34806,1.66116,1
6.14887,1.60903,1
5.96498,1.56091,1
5.79106,1.5154,0
9.2948,1.22329,1
9.02642,1.18797,1
8.77131,1.1544,1
8.53046,1.1227,1
8.30455,1.09297,1
8.08834,1.06451,1
7.88455,1.03769,1
7.6896,1.01203,1
7.5048,0.98771,0
1.60603,3.51195,1
1.49901,3.27792,1
1.40293,3.06782,0
1.31883,2.88393,0
