Dextran 10 kg/mol (wt%),PEO 10 kg/mol (wt%)
0.99791,9.95958
4.02777,4.95944
7.99886,4.43203
10.08997,4.44575
2.02403,5.9942
11.99601,4.50366
6.07745,4.9242
