Dextran 500 kg/mol (wt%),PEO 20 kg/mol (wt%)
0.49534,3.26605
0.96411,3.03911
2.10604,2.84008
3.06032,2.49596
4.03175,2.07196
5.05981,1.77386
8.0312,0.83261
9.85952,0.61807
6.05298,1.29351
