Dextran 10 kg/mol (wt%),PEO 10 kg/mol (wt%)
10.07263,5.00216
12.04697,5.03471
0.9972,11.9771
2.00288,10.05386
3.97482,6.92596
6.0463,5.98172
8.03533,4.93251
