Dextran 450 - 650 kg/mol (wt%),PEO 20 kg/mol (wt%)
1.38178,3.23689
3.13074,2.87767
7.78391,1.10438
0.6748,3.5228
4.03463,2.18183
4.55262,2.01169
2.31648,2.88565
5.96498,1.56091
7.6896,1.01203
1.49901,3.27792
