Sodium citrate (wt%),PEO 8 kg/mol (wt%)
11.18533,10.06498
8.17621,15.76119
5.91168,21.88717
4.69689,26.92673
13.14337,4.16268
7.32828,17.12943
11.00248,7.92259
4.78169,26.11812
